term,estimate,std.error,statistic,p.value
(Intercept),-2.0061,0.4055,-4.9477,0
alr_auxilio_rap,0.3207,0.1082,2.9633,0.003
alr_parques_recreativas,-0.2449,0.1159,-2.112,0.0347
cal_servicio_basura,-0.1904,0.07,-2.7201,0.0065
cal_servicio_electricidad,0.3079,0.0609,5.0592,0
cal_servicio_seguridad,0.1491,0.0631,2.3648,0.018
covid_depresion,-0.5209,0.1038,-5.0193,0
covid_muerte,0.0211,0.0663,0.3179,0.7505
covid_tratar,5e-4,2e-4,3.1104,0.0019
f_hombre,-0.1513,0.0468,-3.2344,0.0012
f_mujer,-0.1011,0.0466,-2.1673,0.0302
idiomas,0.3367,0.0841,4.0023,1e-4
ingreso_familiar,-0,0,-2.8251,0.0047
sentimiento_serguridad,1.3133,0.1098,11.9658,0
servicio_desague,0.8806,0.2843,3.0974,0.002
servicio_internet,0.2354,0.1234,1.9078,0.0564
servicio_telefono,0.2872,0.1202,2.389,0.0169
vivienda_pisos,0.0557,0.0436,1.2776,0.2014
